IPO Date,Symbol,Company Name,IPO Price,Current,Return,Related People,Description,Country,Industry,Sector,People
"Mar 7, 2019",SWAV,"ShockWave Medical, Inc.",$17.00,$334.75,"1,869.12%","Douglas E. Godshall M.B.A. (President, Chief Executive Officer and Director), Isaac Zacharias (Chief Commercial Officer), Daniel Hawkins (Founder and Senior Advisor), John M. Adams (Co-Founder and Technical Advisor), Renee M. Gaeta (Chief Financial Officer), Luis Morales (Senior Vice President of Global Operations), Trinh Phung (Chief Accounting Officer, Principal Accounting Officer and Vice President of Finance), Debbie Kaster (Vice President of Investor Relations), Hajime Tada J.D. (General Counsel and Secretary), Robert Fletcher (Senior Vice President of Marketing and Market Access)","Shockwave Medical, Inc., a medical device company, develops and commercializes intravascular lithotripsy (IVL) technology for the treatment of calcified plaque in patients with peripheral and coronary vascular, and heart valve diseases in the United States and internationally.",United States,Medical Devices,Healthcare,"{'Douglas E. Godshall M.B.A.': 'President, Chief Executive Officer and Director', 'Isaac Zacharias': 'Chief Commercial Officer', 'Daniel Hawkins': 'Founder and Senior Advisor', 'John M. Adams': 'Co-Founder and Technical Advisor', 'Renee M. Gaeta': 'Chief Financial Officer', 'Luis Morales': 'Senior Vice President of Global Operations', 'Trinh Phung': 'Chief Accounting Officer, Principal Accounting Officer and Vice President of Finance', 'Debbie Kaster': 'Vice President of Investor Relations', 'Hajime Tada J.D.': 'General Counsel and Secretary', 'Robert Fletcher': 'Senior Vice President of Marketing and Market Access'}"
"Mar 5, 2019",THCB,Tuscan Holdings Corp.,$10.00,$10.00,-,"Yang Wu (Founder, President, Chairman and Chief Executive Officer), Craig Webster (Chief Financial Officer), Gao Lu (Chief Accounting Officer), Dr. Wenjuan Mattis Ph.D. (Chief Technology Officer), Isida Tushe (General Counsel and Corporate Secretary), Sascha Rene Kelterborn (Chief Revenue Officer)","Microvast Holdings, Inc. provides battery technologies for electric vehicles and energy storage solutions.",United States,Electrical Equipment & Parts,Industrials,"{'Yang Wu': 'Founder, President, Chairman and Chief Executive Officer', 'Craig Webster': 'Chief Financial Officer', 'Gao Lu': 'Chief Accounting Officer', 'Dr. Wenjuan Mattis Ph.D.': 'Chief Technology Officer', 'Isida Tushe': 'General Counsel and Corporate Secretary', 'Sascha Rene Kelterborn': 'Chief Revenue Officer'}"
"Feb 28, 2019",DPHC,DiamondPeak Holdings,$10.00,$18.21,82.10%,William C. Gallagher (Chief Executive Officer and President),Nu Ride Inc. does not have significant operations.,NY,Auto Manufacturers,Consumer Discretionary,{'William C. Gallagher': 'Chief Executive Officer and President'}
"Feb 28, 2019",SHLL,Tortoise Acquisition Corp.,$10.00,$44.91,349.10%,"Thomas J. Healy (Founder, President, Chief Executive Officer and Director), Jon T. Panzer (Chief Financial Officer), Jose Miguel Oxholm (Chief Legal and Compliance Officer), Cheri L. Lantz (Chief Strategy Officer), Josh Mook (Chief Technology Officer), Kellen Michael Ferris (Director of Investor Relations), Govindaraj Ramasamy (Chief Commercial Officer)","Hyliion Holdings Corp. engages in the design, development, and sale of power generators for stationary and mobile applications in the United States.",United States,Auto Parts,Consumer Discretionary,"{'Thomas J. Healy': 'Founder, President, Chief Executive Officer and Director', 'Jon T. Panzer': 'Chief Financial Officer', 'Jose Miguel Oxholm': 'Chief Legal and Compliance Officer', 'Cheri L. Lantz': 'Chief Strategy Officer', 'Josh Mook': 'Chief Technology Officer', 'Kellen Michael Ferris': 'Director of Investor Relations', 'Govindaraj Ramasamy': 'Chief Commercial Officer'}"
"Feb 26, 2019",SLE,"Super League Enterprise, Inc.",$11.00,$0.84,-92.39%,"Ann Hand (Chief Executive Officer and Chair of the Board), Matthew Evan Edelman (President and Chief Commercial Officer), Clayton J. Haynes (Chief Financial Officer), Anne Gailliot (Chief of Staff and Vice President of Special Projects), Andy Babb (Chief Games Officer), Stephen Dao (Executive Vice President of Engineering)","Super League Enterprise, Inc. creates and publishes content and media solutions across immersive platforms in the United States and internationally.",United States,Internet Content & Information,Communication Services,"{'Ann Hand': 'Chief Executive Officer and Chair of the Board', 'Matthew Evan Edelman': 'President and Chief Commercial Officer', 'Clayton J. Haynes': 'Chief Financial Officer', 'Anne Gailliot': 'Chief of Staff and Vice President of Special Projects', 'Andy Babb': 'Chief Games Officer', 'Stephen Dao': 'Executive Vice President of Engineering'}"
"Feb 15, 2019",AREC,American Resources Corporation,$4.00,$0.84,-78.93%,"Mark C. Jensen (Chairman and Chief Executive Officer), Thomas M. Sauve (President and Director), Kirk Patrick Taylor CPA, CPA (Chief Financial Officer and Principal Accounting Officer), Tarlis R. Thompson (Chief Executive Officer of American Carbon subsidiary), Mark J. LaVerghetta (Vice President of Corporate Finance and Communications), Dr. Gregory Quest Jensen J.D., Ph.D. (General Counsel), Lisa Little (Head of Human Resources), Jeff Peterson (Chief Operating Officer of ReElement Technologies LLC), Chris Moorman (Chief Commercial Officer of ReElement Technologies LLC), Kristie Slone (Head of Environmental Solutions)","American Resources Corporation, together with its subsidiaries, extracts, processes, transports, and sells metallurgical coal to the steel and industrial industries.",United States,Coking Coal,Materials,"{'Mark C. Jensen': 'Chairman and Chief Executive Officer', 'Thomas M. Sauve': 'President and Director', 'Kirk Patrick Taylor CPA, CPA': 'Chief Financial Officer and Principal Accounting Officer', 'Tarlis R. Thompson': 'Chief Executive Officer of American Carbon subsidiary', 'Mark J. LaVerghetta': 'Vice President of Corporate Finance and Communications', 'Dr. Gregory Quest Jensen J.D., Ph.D.': 'General Counsel', 'Lisa Little': 'Head of Human Resources', 'Jeff Peterson': 'Chief Operating Officer of ReElement Technologies LLC', 'Chris Moorman': 'Chief Commercial Officer of ReElement Technologies LLC', 'Kristie Slone': 'Head of Environmental Solutions'}"
"Feb 15, 2019",HOTH,"Hoth Therapeutics, Inc.",$5.60,$0.91,-83.39%,"Robb Knie (President, Chief Executive Officer and Chairman), David S. Briones (Chief Financial Officer), Hayley Springer (Executive Vice President of Operations)","Hoth Therapeutics, Inc., a clinical-stage biopharmaceutical company, focuses on developing therapies for unmet medical needs.",United States,Biotechnology,Healthcare,"{'Robb Knie': 'President, Chief Executive Officer and Chairman', 'David S. Briones': 'Chief Financial Officer', 'Hayley Springer': 'Executive Vice President of Operations'}"
"Feb 14, 2019",TCRR,TCR2 Therapeutics Inc.,$15.00,$1.48,-89.80%,"Adrian G. Rawcliffe (Chief Executive Officer, Principal Accounting Officer and Director), Gavin Hilary James Wood ACA, BA (Hons) (Chief Financial Officer), William C. Bertrand Jr., Esq., J.D. (Chief Operating Officer), Dr. Elliot Norry B.A., M.D. (Chief Medical Officer), Cintia Piccina Pharm.D. (Chief Commercial Officer), Dr. Helen Katrina Tayton-Martin MBA, Ph.D. (Co-Founder and Chief Business & Strategy Officer), Joanna Brewer Ph.D. (Chief Scientific Officer), Dr. Juli P. Miller Ph.D. (Vice President of Corporate Affairs and Investor Relations), Kerry Sharp (Senior Vice President and General Council), Dana Lynch (Senior Director of Corporate Communications)","Adaptimmune Therapeutics plc, a clinical-stage biopharmaceutical company, provides novel cell therapies primarily to cancer patients in the United States and the United Kingdom.",United Kingdom,Biotechnology,Healthcare,"{'Adrian G. Rawcliffe': 'Chief Executive Officer, Principal Accounting Officer and Director', 'Gavin Hilary James Wood ACA, BA (Hons)': 'Chief Financial Officer', 'William C. Bertrand Jr., Esq., J.D.': 'Chief Operating Officer', 'Dr. Elliot Norry B.A., M.D.': 'Chief Medical Officer', 'Cintia Piccina Pharm.D.': 'Chief Commercial Officer', 'Dr. Helen Katrina Tayton-Martin MBA, Ph.D.': 'Co-Founder and Chief Business & Strategy Officer', 'Joanna Brewer Ph.D.': 'Chief Scientific Officer', 'Dr. Juli P. Miller Ph.D.': 'Vice President of Corporate Affairs and Investor Relations', 'Kerry Sharp': 'Senior Vice President and General Council', 'Dana Lynch': 'Senior Director of Corporate Communications'}"
"Feb 13, 2019",BACK,"IMAC Holdings, Inc.",$5.13,$2.26,-55.90%,"Jeffrey S. Ervin M.B.A. (Chairman and Chief Executive Officer), Dr. Matthew C. Wallis (President and Director), Sheri F. Gardzina CPA, CPA (Chief Financial Officer and Corporate Secretary)","IMAC Holdings, Inc. does not have significant operations.",United States,Medical Care Facilities,Healthcare,"{'Jeffrey S. Ervin M.B.A.': 'Chairman and Chief Executive Officer', 'Dr. Matthew C. Wallis': 'President and Director', 'Sheri F. Gardzina CPA, CPA': 'Chief Financial Officer and Corporate Secretary'}"
"Feb 12, 2019",ANCN,Anchiano Therapeutics,$11.50,$75.36,555.30%,"Dr. Adi Mor George Ph.D. (Co-Founder, Chief Scientific Officer, Chief Executive Officer and Executive Director), Sigal Fattal CPA, M.B.A. (Chief Financial Officer), Dr. Matthew B. Frankel M.B.A., M.D. (Chief Medical Officer and Vice President of Drug Development), Barbara Lindheim (Consulting Vice President of Investor and Public Relations, Strategic Communications)","Chemomab Therapeutics Ltd., a clinical-stage biotechnology company, discovers and develops therapeutics for the treatment of fibrotic and inflammatory diseases in the United States.",Israel,Biotechnology,Healthcare,"{'Dr. Adi Mor George Ph.D.': 'Co-Founder, Chief Scientific Officer, Chief Executive Officer and Executive Director', 'Sigal Fattal CPA, M.B.A.': 'Chief Financial Officer', 'Dr. Matthew B. Frankel M.B.A., M.D.': 'Chief Medical Officer and Vice President of Drug Development', 'Barbara Lindheim': 'Consulting Vice President of Investor and Public Relations, Strategic Communications'}"
"Feb 8, 2019",HARP,"Harpoon Therapeutics, Inc.",$14.00,$23.01,64.36%,"Robert M. Davis J.D. (Chairman, President and Chief Executive Officer), Caroline Litchfield (Executive Vice President and Chief Financial Officer), Jennifer L. Zachary (Executive Vice President and General Counsel), Dr. Dean Y. Li M.D., Ph.D. (Executive Vice President and President of Merck Research Laboratories), Chirfi Guindo (Senior Vice President and Chief Marketing Officer of Human Health), Dalton E. Smart III (Senior Vice President of Finance, Principal Accounting Officer and Global Controller), David Michael Williams (Executive Vice President and Chief Information and Digital Officer), Peter Dannenbaum (Vice President of Investor Relations), Lisa LeCointe-Cephas (Senior Vice President and Chief Ethics and Compliance Officer), Cristal N. Downing (Executive Vice President and Chief Communications and Public Affairs Officer)","Merck & Co., Inc. operates as a healthcare company worldwide.",United States,Drug Manufacturers - General,Healthcare,"{'Robert M. Davis J.D.': 'Chairman, President and Chief Executive Officer', 'Caroline Litchfield': 'Executive Vice President and Chief Financial Officer', 'Jennifer L. Zachary': 'Executive Vice President and General Counsel', 'Dr. Dean Y. Li M.D., Ph.D.': 'Executive Vice President and President of Merck Research Laboratories', 'Chirfi Guindo': 'Senior Vice President and Chief Marketing Officer of Human Health', 'Dalton E. Smart III': 'Senior Vice President of Finance, Principal Accounting Officer and Global Controller', 'David Michael Williams': 'Executive Vice President and Chief Information and Digital Officer', 'Peter Dannenbaum': 'Vice President of Investor Relations', 'Lisa LeCointe-Cephas': 'Senior Vice President and Chief Ethics and Compliance Officer', 'Cristal N. Downing': 'Executive Vice President and Chief Communications and Public Affairs Officer'}"
"Feb 8, 2019",GOSS,"Gossamer Bio, Inc.",$16.00,$0.54,-96.61%,"Faheem Hasnain (Co-Founder, Chief Executive Officer, President and Chairman), Bryan Giraudo (Chief Operating Officer and Chief Financial Officer), Dr. Richard Aranda M.D. (Chief Medical Officer), Christian Waage (Executive Vice President of Technical Operations and Administration), Jeff Boerneke (General Counsel and Secretary), Deanna Weber (Senior Vice President of Human Resources), Mario Orlando (Senior Vice President of Commercial New Product Planning), Caryn L. Peterson (Executive Vice President of Regulatory Affairs), Matt Cravets (Senior Vice President of Biometrics), Dr. Lisa Elizabeth Nolan Ph.D. (MD and President of Gossamer Bio Ireland)","Gossamer Bio, Inc., a clinical-stage biopharmaceutical company, focuses on developing and commercializing seralutinib for the treatment of pulmonary arterial hypertension (PAH) in the United States.",United States,Biotechnology,Healthcare,"{'Faheem Hasnain': 'Co-Founder, Chief Executive Officer, President and Chairman', 'Bryan Giraudo': 'Chief Operating Officer and Chief Financial Officer', 'Dr. Richard Aranda M.D.': 'Chief Medical Officer', 'Christian Waage': 'Executive Vice President of Technical Operations and Administration', 'Jeff Boerneke': 'General Counsel and Secretary', 'Deanna Weber': 'Senior Vice President of Human Resources', 'Mario Orlando': 'Senior Vice President of Commercial New Product Planning', 'Caryn L. Peterson': 'Executive Vice President of Regulatory Affairs', 'Matt Cravets': 'Senior Vice President of Biometrics', 'Dr. Lisa Elizabeth Nolan Ph.D.': 'MD and President of Gossamer Bio Ireland'}"
"Feb 7, 2019",ALEC,"Alector, Inc.",$19.00,$4.26,-77.58%,"Dr. Arnon Rosenthal Ph.D. (Co-Founder, Chief Executive Officer and Director), Dr. Sara Kenkare-Mitra Ph.D. (President and Head of Research and Development), Dr. Marc Grasso M.D. (Chief Financial Officer, Principal Financial Officer and Principal Accounting Officer), Dr. Gary Romano M.D., Ph.D. (Chief Medical Officer), Peter Heutink Ph.D. (Chief Scientific Officer), Katie Hogan (Senior Director of Corporate Communication and Investor Relations), Danielle Pasqualone J.D., Ph.D. (General Counsel), Clare Hunt M.B.A. (Chief People Officer), Kristina Cutter M.P.H. (Chief Regulatory, Pharmacovigilance, and Quality Assurance Officer), Virginia DeJesus-Rueff M.B.A. (Chief of Staff and Head of Strategy)","Alector, Inc., a clinical stage biopharmaceutical company, develops therapies for the treatment of neurodegeneration diseases.",United States,Biotechnology,Healthcare,"{'Dr. Arnon Rosenthal Ph.D.': 'Co-Founder, Chief Executive Officer and Director', 'Dr. Sara Kenkare-Mitra Ph.D.': 'President and Head of Research and Development', 'Dr. Marc Grasso M.D.': 'Chief Financial Officer, Principal Financial Officer and Principal Accounting Officer', 'Dr. Gary Romano M.D., Ph.D.': 'Chief Medical Officer', 'Peter Heutink Ph.D.': 'Chief Scientific Officer', 'Katie Hogan': 'Senior Director of Corporate Communication and Investor Relations', 'Danielle Pasqualone J.D., Ph.D.': 'General Counsel', 'Clare Hunt M.B.A.': 'Chief People Officer', 'Kristina Cutter M.P.H.': 'Chief Regulatory, Pharmacovigilance, and Quality Assurance Officer', 'Virginia DeJesus-Rueff M.B.A.': 'Chief of Staff and Head of Strategy'}"
"Feb 4, 2019",INMB,"INmune Bio, Inc.",$8.00,$7.70,-3.75%,"Dr. Raymond Joseph Tesi M.D. (Co-Founder, President, Chief Executive Officer, Chief Medical Officer and Chairman), David J. Moss M.B.A. (Chief Financial Officer, Treasurer and Secretary), Dr. Mark William Lowdell BSc, FRCPath, MICR, MSc, Ph.D. (Chief Scientific Officer and Chief Manufacturing Officer), Joshua S. Schoonover Esq. (General Counsel)","INmune Bio, Inc., a clinical-stage immunology company, focuses on developing drugs to reprogram the patients innate immune system to treat disease in the United States.",United States,Biotechnology,Healthcare,"{'Dr. Raymond Joseph Tesi M.D.': 'Co-Founder, President, Chief Executive Officer, Chief Medical Officer and Chairman', 'David J. Moss M.B.A.': 'Chief Financial Officer, Treasurer and Secretary', 'Dr. Mark William Lowdell BSc, FRCPath, MICR, MSc, Ph.D.': 'Chief Scientific Officer and Chief Manufacturing Officer', 'Joshua S. Schoonover Esq.': 'General Counsel'}"
"Feb 4, 2019",IPV,InterPrivate Acquisition,$10.00,$13.04,30.40%,"Mina Rezk (Co-Founder, President, Chief Technology Officer and Chairman of the Board), Soroush Salehian Dardashti (Co-Founder, Chief Executive Officer and Director), Saurabh Sinha (Chief Financial Officer), Andrew Fung (Director of Investor Relations), Barrs Lang (Vice President of Global Sales), Axel Gern (Head of Engineering in Germany)","Aeva Technologies, Inc. engages in the design, development, manufacture, and sale of LiDAR sensing systems, and related perception and autonomy-enabling software solutions in North America, Europe, the Middle East, Africa, and Asia.",United States,Software - Infrastructure,Technology,"{'Mina Rezk': 'Co-Founder, President, Chief Technology Officer and Chairman of the Board', 'Soroush Salehian Dardashti': 'Co-Founder, Chief Executive Officer and Director', 'Saurabh Sinha': 'Chief Financial Officer', 'Andrew Fung': 'Director of Investor Relations', 'Barrs Lang': 'Vice President of Global Sales', 'Axel Gern': 'Head of Engineering in Germany'}"
"Feb 1, 2019",GMHI,Gores Metropoulos,$10.00,$18.00,80.00%,"Austin Russell (Founder, Chairperson, Chief Executive Officer and President), Thomas J. Fennimore (Chief Financial Officer), Alan Prescott (Chief Legal Officer and Secretary), Dr. Jason M. Eichenholz Ph.D. (Co-Founder and Chief Technology Officer), Sameer Ladiwala (Chief Accounting Officer), Aileen Elizabeth Smith (Head of Investor Relations), John Pinette (Senior Vice President of Communications), Alex David Vitale (Head of Corporate Development and Strategy), Emily Shanklin (Senior Vice President of Marketing), Jackie Chen Ph.D. (Head of China)","Luminar Technologies, Inc., an automotive technology company, provides sensor technologies and software for passenger cars and commercial trucks in North America, the Asia Pacific, Europe, and the Middle East.",United States,Auto Parts,Consumer Discretionary,"{'Austin Russell': 'Founder, Chairperson, Chief Executive Officer and President', 'Thomas J. Fennimore': 'Chief Financial Officer', 'Alan Prescott': 'Chief Legal Officer and Secretary', 'Dr. Jason M. Eichenholz Ph.D.': 'Co-Founder and Chief Technology Officer', 'Sameer Ladiwala': 'Chief Accounting Officer', 'Aileen Elizabeth Smith': 'Head of Investor Relations', 'John Pinette': 'Senior Vice President of Communications', 'Alex David Vitale': 'Head of Corporate Development and Strategy', 'Emily Shanklin': 'Senior Vice President of Marketing', 'Jackie Chen Ph.D.': 'Head of China'}"
"Jan 31, 2019",NFE,New Fortress Energy Inc.,$14.00,$21.21,51.50%,"Wesley Robert Edens (Founder, Chairman and Chief Executive Officer), Christopher S. Guinta (Chief Financial Officer), Yunyoung Shin (Chief Accounting Officer), Brett Magill (Head of Investor Relations and MD), Jake Suski (Managing Director of Public Affairs), Brannen McElmurray (MD and Chief Development Officer), Sam Abdalla (Head of Distributed Generation Projects and Vice President of Project Development), Cameron D. MacDougall Esq. (Secretary), Joshua Kane (Vice President of Investor Relations), Patrick Thomas Hughes (Executive Officer)",New Fortress Energy Inc. operates as an integrated gas-to-power energy infrastructure company that provides energy and development services to end-users worldwide.,United States,Utilities - Regulated Gas,Utilities,"{'Wesley Robert Edens': 'Founder, Chairman and Chief Executive Officer', 'Christopher S. Guinta': 'Chief Financial Officer', 'Yunyoung Shin': 'Chief Accounting Officer', 'Brett Magill': 'Head of Investor Relations and MD', 'Jake Suski': 'Managing Director of Public Affairs', 'Brannen McElmurray': 'MD and Chief Development Officer', 'Sam Abdalla': 'Head of Distributed Generation Projects and Vice President of Project Development', 'Cameron D. MacDougall Esq.': 'Secretary', 'Joshua Kane': 'Vice President of Investor Relations', 'Patrick Thomas Hughes': 'Executive Officer'}"
"Jan 17, 2019",RBKB,"Rhinebeck Bancorp, Inc.",$10.00,$7.96,-20.40%,"Michael J. Quinn (Chief Executive Officer, President and Director), Michael J. McDermott (Senior Vice President, Chief Financial Officer and Principal Accounting Officer), Jamie J. Bloom (Executive Vice President, Chief Operating Officer and Chief Banking Officer), Karen E. Morgan-D'Amelio Esq. (Chief Risk Officer, General Counsel and Corporate Secretary), Megan Bourgoin (Vice President, Compliance Officer and Assistant Secretary), Timmian C. Massie (Chief Marketing and Public Affairs Officer), Jeanine Borko (Senior Vice President of Human Resources), James T. McCardle III (Chief Credit Officer and Senior Vice President), Mark Malone (Chief Retail Officer), Dawn Scherer (Senior Vice President of Information Technology)","Rhinebeck Bancorp, Inc. operates as the bank holding company for Rhinebeck Bank that provides banking and financial products and services to consumer and commercial customers in the Hudson Valley region of New York.",United States,Banks - Regional,Financials,"{'Michael J. Quinn': 'Chief Executive Officer, President and Director', 'Michael J. McDermott': 'Senior Vice President, Chief Financial Officer and Principal Accounting Officer', 'Jamie J. Bloom': 'Executive Vice President, Chief Operating Officer and Chief Banking Officer', ""Karen E. Morgan-D'Amelio Esq."": 'Chief Risk Officer, General Counsel and Corporate Secretary', 'Megan Bourgoin': 'Vice President, Compliance Officer and Assistant Secretary', 'Timmian C. Massie': 'Chief Marketing and Public Affairs Officer', 'Jeanine Borko': 'Senior Vice President of Human Resources', 'James T. McCardle III': 'Chief Credit Officer and Senior Vice President', 'Mark Malone': 'Chief Retail Officer', 'Dawn Scherer': 'Senior Vice President of Information Technology'}"
"Jan 9, 2019",BCOW,"1895 Bancorp of Wisconsin, Inc.",$10.00,$7.56,-24.40%,"David R. Ball (President, Chief Executive Officer and Director), Steven Thomas Klitzing (Executive Vice President, Chief Financial Officer and Treasurer), Monica Baker (Corporate Secretary, Executive Vice President, Chief Operating Officer, Chief Brand Officer and Director), Richard B. Hurd (Executive Vice President, Strategic Planning Officer and Director), Daniel K. Kempel (Senior Vice President and Chief Credit Officer), Karen Stroud (Controller), Eric T. Hurd (Senior Vice President and Chief Lending Officer)","1895 Bancorp of Wisconsin, Inc. operates as a holding company for PyraMax Bank, FSB that provides a range of financial services to commercial and retail customers.",United States,Banks - Regional,Financials,"{'David R. Ball': 'President, Chief Executive Officer and Director', 'Steven Thomas Klitzing': 'Executive Vice President, Chief Financial Officer and Treasurer', 'Monica Baker': 'Corporate Secretary, Executive Vice President, Chief Operating Officer, Chief Brand Officer and Director', 'Richard B. Hurd': 'Executive Vice President, Strategic Planning Officer and Director', 'Daniel K. Kempel': 'Senior Vice President and Chief Credit Officer', 'Karen Stroud': 'Controller', 'Eric T. Hurd': 'Senior Vice President and Chief Lending Officer'}"
"Jan 8, 2019",MTC,"MMTec, Inc.",$4.00,$0.32,-92.01%,"Xiangdong Wen (Chairman and Chief Executive Officer), Min Kong (Chief Financial Officer and Director), Qiong Yu (IR Manager)","MMTec, Inc., together with its subsidiaries, develops and deploys platforms that enable financial institutions to engage in securities market transactions and settlements worldwide.",China,Software - Application,Technology,"{'Xiangdong Wen': 'Chairman and Chief Executive Officer', 'Min Kong': 'Chief Financial Officer and Director', 'Qiong Yu': 'IR Manager'}"
"Jan 8, 2019",MDJH,MDJM Ltd,$5.00,$1.24,-75.20%,"Siping Xu (Chief Executive Officer and Chairman), Mengnan Wang (Chief Financial Officer)",MDJM Ltd provides end-to-end services in the life cycle of a residential real estate project in the People's Republic of China.,China,Real Estate Services,Real Estate,"{'Siping Xu': 'Chief Executive Officer and Chairman', 'Mengnan Wang': 'Chief Financial Officer'}"
"Jan 4, 2019",SXTC,"China SXT Pharmaceuticals, Inc.",$4.00,$1.08,-73.00%,"Feng Zhou (Chairman of the Board and Chief Executive Officer), Xiaodong Pan (Chief Financial Officer), Jun Zheng (Executive Director)","China SXT Pharmaceuticals, Inc., a pharmaceutical company, engages in the research, development, manufacture, marketing, and sale of traditional Chinese medicine pieces (TCMP) in China.",China,Drug Manufacturers - Specialty & Generic,Healthcare,"{'Feng Zhou': 'Chairman of the Board and Chief Executive Officer', 'Xiaodong Pan': 'Chief Financial Officer', 'Jun Zheng': 'Executive Director'}"
"Dec 29, 2020",MRM,MEDIROM Healthcare Technologies Inc.,$15.00,$4.98,-66.81%,"Kouji Eguchi (Chief Executive Officer and Representative Director), Fumitoshi Fujiwara (Chief Financial Officer and Director), Akira Aoki (Executive Officer and Chief Medical Officer)",MEDIROM Healthcare Technologies Inc. provides holistic healthcare services in Japan.,Japan,Personal Services,Consumer Discretionary,"{'Kouji Eguchi': 'Chief Executive Officer and Representative Director', 'Fumitoshi Fujiwara': 'Chief Financial Officer and Director', 'Akira Aoki': 'Executive Officer and Chief Medical Officer'}"
"Dec 24, 2020",VTAQ,Ventoux CCM Acquisition Corp.,$10.00,$5.08,-49.20%,"Guillaume Lefevre (Interim Chief Executive Officer), Stanley Mbugua (Interim Chief Financial Officer), Kat Hoffman-Flynt (Chief Operating Officer), William Healey (Chief Technology Officer), Adam Rogers (Vice President of Investor Relations), Susan Shinoff (General Counsel and Corporate Secretary), Debarag Banerjee (Head of Voice Engineering), David Rudd-Jones (Chief of Staff)",Presto Automation Inc. engages in the provision of artificial intelligence (AI) and automation solutions to the restaurant enterprise technology industry in the United States.,United States,Software - Application,Technology,"{'Guillaume Lefevre': 'Interim Chief Executive Officer', 'Stanley Mbugua': 'Interim Chief Financial Officer', 'Kat Hoffman-Flynt': 'Chief Operating Officer', 'William Healey': 'Chief Technology Officer', 'Adam Rogers': 'Vice President of Investor Relations', 'Susan Shinoff': 'General Counsel and Corporate Secretary', 'Debarag Banerjee': 'Head of Voice Engineering', 'David Rudd-Jones': 'Chief of Staff'}"
"Dec 23, 2020",VHAQ,Viveon Health Acquisition Corp.,$10.00,$10.00,-,"Dr. Jagi Gill M.D., Ph.D. (Chief Executive Officer, President and Chairman of the Board), Dr. Romilos Papadopoulos M.D. (Chief Financial Officer, Treasurer, Secretary and Director)",Viveon Health Acquisition Corp. does not have significant operations.,GA,Shell Companies,Financials,"{'Dr. Jagi Gill M.D., Ph.D.': 'Chief Executive Officer, President and Chairman of the Board', 'Dr. Romilos Papadopoulos M.D.': 'Chief Financial Officer, Treasurer, Secretary and Director'}"
"Dec 23, 2020",IKT,"Inhibikase Therapeutics, Inc.",$10.00,$1.50,-85.00%,"Dr. Milton H. Werner Ph.D. (Chief Executive Officer, President and Director), Garth Lees-Rolfe (Chief Financial Officer), Dr. Roger Rush (Head of Preclinical Research), Dr. Surendra Singh (Head of Chemistry, Manufacturing and Controls), Dr. Charles Warren Olanow B.Sc., F.R.C.P.C., M.D. (Chief Executive Officer of Clintrex Research Corporation and Member of Scientific Advisory Board), Dan Williams (Controller)","Inhibikase Therapeutics, Inc., a clinical-stage pharmaceutical company, develops therapeutics for Parkinson's disease and related disorders.",United States,Biotechnology,Healthcare,"{'Dr. Milton H. Werner Ph.D.': 'Chief Executive Officer, President and Director', 'Garth Lees-Rolfe': 'Chief Financial Officer', 'Dr. Roger Rush': 'Head of Preclinical Research', 'Dr. Surendra Singh': 'Head of Chemistry, Manufacturing and Controls', 'Dr. Charles Warren Olanow B.Sc., F.R.C.P.C., M.D.': 'Chief Executive Officer of Clintrex Research Corporation and Member of Scientific Advisory Board', 'Dan Williams': 'Controller'}"
"Dec 18, 2020",MASS,908 Devices Inc.,$20.00,$5.49,-72.55%,"Dr. Kevin J. Knopp Ph.D. (Co-Founder, Chief Executive Officer, President and Director), Joseph H. Griffith IV (Chief Financial Officer and Treasurer), Michael S. Turner Esq., J.D. (Chief Legal and Administrative Officer and Secretary), Dr. Christopher David Brown Ph.D. (Co-Founder, Chief Product Officer and Co-Chair of Scientific Advisory Board), Steve Araiza (Co-Founder), Andrew Bartfay (Co-Founder and Director of Hardware Development), Michael Jobin (Co-Founder and Director of Product Development), Dr. Scott Miller Ph.D. (Co-Founder and Director of MS Engineering), Don Osmer (Vice President of Human Resources)","908 Devices Inc., a commercial-stage technology company, provides various purpose-built handheld and desktop mass spectrometry devices to interrogate unknown and invisible materials in life sciences research, bioprocessing, pharma/biopharma, forensics, and adjacent markets.",United States,Medical Devices,Healthcare,"{'Dr. Kevin J. Knopp Ph.D.': 'Co-Founder, Chief Executive Officer, President and Director', 'Joseph H. Griffith IV': 'Chief Financial Officer and Treasurer', 'Michael S. Turner Esq., J.D.': 'Chief Legal and Administrative Officer and Secretary', 'Dr. Christopher David Brown Ph.D.': 'Co-Founder, Chief Product Officer and Co-Chair of Scientific Advisory Board', 'Steve Araiza': 'Co-Founder', 'Andrew Bartfay': 'Co-Founder and Director of Hardware Development', 'Michael Jobin': 'Co-Founder and Director of Product Development', 'Dr. Scott Miller Ph.D.': 'Co-Founder and Director of MS Engineering', 'Don Osmer': 'Vice President of Human Resources'}"
